Id,course_title,is_paid,price,num_subscribers,level,content_duration,rating,language,category,anio_publicacion,ingreso_por_curso,plataforma,add_certificate,price_Certificate
69,Basic Excel for Basic Bookkeeping and Accounting,Si,95,7743.0,Beginner,1.5,4.0,English,Finance & Accounting,2015.0,735585.0,Udemy,,
70,"Using 'The Greeks To Understand Options""",Si,50,2134.0,All,1.0,4.0,English,Finance & Accounting,2016.0,106700.0,Udemy,,
71,Trading Options For Consistent Returns: Calendar Spreads,Si,200,1214.0,All,1.5,4.0,English,Finance & Accounting,2016.0,242800.0,Udemy,,
72,The Complete Value Investing Course: A Proven Approach,Si,200,2146.0,All,4.5,4.4,English,Finance & Accounting,2015.0,429200.0,Udemy,,
73,FOREX Trading with Price Action,Si,195,484.0,Beginner,1.0,4.6,English,Finance & Accounting,2017.0,94380.0,Udemy,,
74,Emini ES Futures - Advanced Non Directional Options Trading,Si,200,1057.0,All,1.5,3.9,English,Finance & Accounting,2017.0,211400.0,Udemy,,
75,Forex Trading - Advanced Fundamental Analysis,Si,20,1754.0,Intermediate,2.5,3.8,English,Finance & Accounting,2016.0,35080.0,Udemy,,
76,How To Invest With Tiny Capital In Stocks ?,Si,20,1239.0,Beginner,0.7,3.4,English,Finance & Accounting,2017.0,24780.0,Udemy,,
77,Learn How To Successfully Trade Stocks: In 5 Simple Steps,Si,95,2493.0,All,9.5,4.5,English,Finance & Accounting,2015.0,236835.0,Udemy,,
78,Forex MetaTrader 4: Master MT4 Like A Pro Forex Trader,Si,150,2602.0,Beginner,5.0,4.6,English,Finance & Accounting,2015.0,390300.0,Udemy,,
79,Intermediate Options trading concepts for Stocks and Options,Si,40,2000.0,All,1.0,4.3,English,Finance & Accounting,2015.0,80000.0,Udemy,,
80,Options Trading 101: The Basics,No,0,1514.0,Beginner,0.55,4.4,English,Finance & Accounting,2017.0,0.0,Udemy,,
81,Financial Statements Basics,Si,20,1374.0,Beginner,2.0,4.0,English,Finance & Accounting,2016.0,27480.0,Udemy,,
82,High performance Stock Trading using key Options techniques,Si,40,2103.0,All,1.5,4.0,English,Finance & Accounting,2015.0,84120.0,Udemy,,
83,Basics of Economics (College Level),Si,25,2516.0,All,1.5,4.2,English,Finance & Accounting,2015.0,62900.0,Udemy,,
84,Stock Market Investing for Beginners,No,0,50855.0,Beginner,1.5,4.5,English,Finance & Accounting,2013.0,0.0,Udemy,,
85,Accounting for Beginners : Learn Basics in under 1 Hour,Si,50,1971.0,Beginner,1.5,3.4,English,Finance & Accounting,2015.0,98550.0,Udemy,,
86,Straddle Options Trading - Profit in Any Market Direction,Si,200,837.0,All,1.0,3.9,English,Finance & Accounting,2016.0,167400.0,Udemy,,
