course_title,num_subscribers,level,category,language,price,content_duration,add_certificate,price_Certificate,is_paid,plataforma
Disaster Medicine Training,10937,Beginner,Medicine,English,0,1344,Si,50,No,edX
Nutrition and Health: Human Microbiome,44079,Beginner,Health & Safety,English,0,1008,Si,49,No,edX
Customer Relationship Management,53085,Intermediate,Business & Management,English,0,1008,Si,50,No,edX
Islam Through Its Scriptures,65430,Beginner,Humanities,English,0,672,Si,99,No,edX
Mechatronics Revolution: Fundamentals and Core Concepts,11619,Beginner,Engineering,English,0,2688,Si,149,No,edX
Accounting for Decision-Making,57710,Intermediate,Business & Management,English,0,1176,Si,150,No,edX
C Programming: Language Foundations,46400,Beginner,Computer Science,English,0,1176,Si,49,No,edX
Big Data sin misterios,65564,Intermediate,Data Analysis & Statistics,Spanish,0,1680,Si,25,No,edX
Becoming a Successful Leader (Inclusive Leadership Training),215705,Beginner,Communication,English,0,672,Si,49,No,edX
"English for Journalists, Part 1",50847,Intermediate,Communication,English,0,840,Si,139,No,edX
Introduction to Networking,16134,Beginner,Computer Science,English,0,1176,Si,150,No,edX
Accounting Essentials,58463,Beginner,Business & Management,English,0,1008,Si,79,No,edX
Introduction to Java Programming: Starting to code in Java,325554,Beginner,Computer Science,English,0,840,Si,149,No,edX
European Paintings: From Leonardo to Rembrandt to Goya,60734,Beginner,Humanities,English,0,1176,Si,99,No,edX
Java Programming Fundamentals,12042,Intermediate,Engineering,English,0,840,Si,49,No,edX
"Hollywood: History, Industry, Art",50033,Beginner,Communication,English,0,672,Si,169,No,edX
Data Science Tools,15627,Beginner,Data Analysis & Statistics,English,0,1176,Si,39,No,edX
Statistical Thinking for Data Science and Analytics,198861,Beginner,Computer Science,English,0,840,Si,99,No,edX
Philosophy and Critical Thinking,97175,Beginner,Humanities,English,0,1008,Si,99,No,edX
International Law,91868,Expert,Law,English,0,2016,Si,150,No,edX
Tourism and Travel Management,38503,Beginner,Business & Management,English,0,1176,Si,5,No,edX
Project Management Life Cycle,120019,Intermediate,Business & Management,English,0,1680,Si,150,No,edX
Solar Energy,125069,Beginner,Engineering,English,0,1344,Si,50,No,edX
Public Speaking,10129,Beginner,Communication,English,0,504,Si,199,No,edX
Japanese Pronunciation for Communication,62757,Beginner,Communication,Japanese,0,840,Si,99,No,edX
Mindfulness and Resilience to Stress at Work,33414,Beginner,Business & Management,English,0,672,Si,199,No,edX
Framing Your Communication to Inspire and Convince,49351,Intermediate,Business & Management,English,0,840,Si,125,No,edX
Business Foundations,55154,Beginner,Business & Management,English,0,1008,Si,150,No,edX
The Chemistry of Life,78704,Beginner,Biology & Life Sciences,English,0,2184,Si,49,No,edX
Nutrition and Health: Micronutrients and Malnutrition,78266,Intermediate,Biology & Life Sciences,English,0,1176,Si,99,No,edX
Digital Design,12339,Beginner,Design,English,0,840,Si,50,No,edX
Machine Learning for Data Science and Analytics,140419,Beginner,Computer Science,English,0,840,Si,99,No,edX
