Id,course_title,is_paid,price,num_subscribers,level,content_duration,rating,language,category,anio_publicacion,ingreso_por_curso,plataforma
1266148,Preparation of Consolidated Financial Statements (Basic),No,0,965,Intermediate,1.5,3.9,English,Finance & Accounting,2017,0,Udemy
791436,Succeed in Lotto Even if You Don't Know Where to Start!,Si,20,1201,All,1.5,3.8,English,Finance & Accounting,2017,24020,Udemy
537878,CFA Corporate Finance Level 2,Si,50,2474,All,17.5,3.8,English,Finance & Accounting,2015,123700,Udemy
552504,Introduction to Options - Strategies For Consistent Profits,Si,40,617,All,4.5,4.5,English,Finance & Accounting,2015,24680,Udemy
738900,"Trading Seasonal Price Patterns in Stocks, Futures, & Forex!",Si,200,1094,Beginner,2.0,3.8,English,Finance & Accounting,2016,218800,Udemy
57415,Interpreting Financial Statements,Si,20,1449,Beginner,1.5,4.0,English,Finance & Accounting,2013,28980,Udemy
155344,Introduction to Bookkeeping (Accounting),Si,20,3251,Beginner,12.0,3.7,English,Finance & Accounting,2014,65020,Udemy
42491,CREDIT SPREAD SURGERY - Bear Call and Bull Put Mastery ,Si,60,607,Intermediate,2.0,4.0,English,Finance & Accounting,2013,36420,Udemy
530246,Learn To Invest In Index Funds and ETFs In 7 Easy Steps,Si,20,1132,All,1.0,4.1,English,Finance & Accounting,2015,22640,Udemy
862786,Financial modeling: Build a multiples valuation model,Si,20,656,All,1.5,3.8,English,Finance & Accounting,2016,13120,Udemy
530768,Advanced Stock Options for Serious Equity Investors!,Si,200,1271,Expert,1.5,3.8,English,Finance & Accounting,2015,254200,Udemy
717278,How to be a Profitable Forex Trader,Si,20,1029,All,0.6833333333333333,4.4,English,Finance & Accounting,2016,20580,Udemy
445916,Excel Dashboard - Interactive Excel Dashboard and Charts,Si,30,843,All,3.0,4.6,English,Finance & Accounting,2015,25290,Udemy
267984,Accounting 101: Learn Business Finance Forecasting in 60mins,Si,95,1730,All,1.5,4.4,English,Finance & Accounting,2014,164350,Udemy
180362,The Securities Trade Lifecycle,Si,50,1182,All,4.0,4.5,English,Finance & Accounting,2014,59100,Udemy
364810,Double your Forex Account using the MAGIC MA trading robot,Si,65,1160,Intermediate,2.5,4.5,English,Finance & Accounting,2014,75400,Udemy
298558,Advanced Accounting for Investment Banking,Si,50,1260,Intermediate,4.0,4.7,English,Finance & Accounting,2014,63000,Udemy
337320,Cash Flow Valuation: Develop Your Financial Literacy,Si,105,2987,All,2.0,4.4,English,Finance & Accounting,2014,313635,Udemy
876646,Direction-Independ Trading - Elite Forex Traders  Strategy,Si,120,973,All,2.5,4.1,English,Finance & Accounting,2016,116760,Udemy
529424,How to Become a Financial Analyst from Scratch!,Si,40,2177,Beginner,5.0,4.6,English,Finance & Accounting,2015,87080,Udemy
515326,Financial analysis: Compare performance of companies,Si,20,1850,All,1.0,4.0,English,Finance & Accounting,2015,37000,Udemy
1218552,Forex for Beginners: Easy Forex Trading for Beginners,No,0,1780,Beginner,1.0,4.3,English,Finance & Accounting,2017,0,Udemy
831940,Fundamentals of Accounting for Business Owners,Si,20,217,Beginner,2.5,4.5,English,Finance & Accounting,2017,4340,Udemy
833770,Practical Financial Statement Analysis,Si,75,22,All,4.5,3.8,English,Finance & Accounting,2017,1650,Udemy
907716,International Tax  - Tax Beyond boundaries,Si,100,27,All,19.5,4.2,English,Finance & Accounting,2016,2700,Udemy
1030976,The Complete Financial Statement Analysis Course,Si,150,912,Beginner,3.0,3.8,English,Finance & Accounting,2017,136800,Udemy
